id,first,if_zxs,order,normal_c,first_name,normal_name,first_c
"17607","2017-06-27","0",NULL,NULL,"麻辣小龙虾",NULL,"1"
"17679","2017-06-20","0",NULL,NULL,"泰国椰青",NULL,"0"
"17724","2017-06-22","1","2017-06-28","1","丹东黄蚬","刘老汉薄皮吊瓜","1"
"17724","2017-06-22","1","2017-06-24","0","丹东黄蚬","泰国椰青","1"
"17724","2017-06-22","1","2017-06-23","0","丹东黄蚬","安格斯牛肉","1"
"17724","2017-06-22","1","2017-06-30","0","丹东黄蚬","蓝莓","1"
"17724","2017-06-22","1","2017-06-23","0","丹东黄蚬","麻辣小龙虾","1"
"17724","2017-06-22","1","2017-06-27","1","丹东黄蚬","麻辣小龙虾","1"
"17724","2017-06-22","1","2017-06-25","1","丹东黄蚬","长绒棉毛巾","1"
"17777","2017-06-21","0",NULL,NULL,"山楂优块",NULL,"0"
"17799","2017-06-27","0",NULL,NULL,"珍珠小笼包",NULL,"0"
"17875","2017-06-16","0",NULL,NULL,"蓝莓",NULL,"1"
"18094","2017-06-09","0",NULL,NULL,"便携榨汁神器",NULL,"0"
"18109","2017-06-22","0",NULL,NULL,"湖南米粉",NULL,"0"
"18205","2017-06-06","1",NULL,NULL,"重庆小面",NULL,"0"
"18207","2017-06-09","0","2017-06-09","0","生态鲜腐竹","裸酸奶","0"
"18379","2017-06-14","0",NULL,NULL,"蓝莓",NULL,"0"
"18490","2017-06-24","0",NULL,NULL,"秘鲁牛油果",NULL,"0"
"18629","2017-06-09","0","2017-06-10","0","每日坚果","红心火龙果","1"
"18629","2017-06-09","0","2017-06-21","0","每日坚果","每日坚果","1"
"18629","2017-06-09","0","2017-06-15","1","每日坚果","法国猪肋排","1"
"18629","2017-06-09","0","2017-06-11","0","每日坚果","高山东魁杨梅","1"
"18912","2017-06-23","1","2017-06-23","0","麻辣小龙虾","山楂优块","0"
"19082","2017-06-14","0","2017-06-14","0","丹东黄蚬","蓝莓","1"
"19082","2017-06-14","0","2017-06-19","1","丹东黄蚬","蓝莓","1"
"19082","2017-06-14","0","2017-06-17","1","丹东黄蚬","雷尼黄樱桃","1"
"19115","2017-06-24","0",NULL,NULL,"海阳网纹蜜瓜",NULL,"0"
"19315","2017-06-13","0",NULL,NULL,"刘老汉薄皮吊瓜",NULL,"0"
"19400","2017-06-18","0",NULL,NULL,"便携榨汁神器",NULL,"0"
"19425","2017-06-17","0","2017-06-18","1","红心火龙果","红心火龙果","1"
"19425","2017-06-17","0","2017-06-27","0","红心火龙果","五彩野鸡蛋","1"
"19513","2017-06-04","0","2017-07-04","0","巨无霸金奇异果","六鳌红蜜薯","0"
"19513","2017-06-04","0","2017-06-14","0","巨无霸金奇异果","秘鲁牛油果","0"
"19513","2017-06-04","0","2017-06-17","0","巨无霸金奇异果","海南桥沙地瓜","0"
"19513","2017-06-04","0","2017-06-28","0","巨无霸金奇异果","海南桥沙地瓜","0"
"19513","2017-06-04","0","2017-06-30","0","巨无霸金奇异果","海南桥沙地瓜","0"
"19705","2017-06-22","0","2017-06-27","1","高山东魁杨梅","巨无霸金奇异果","0"
"19804","2017-06-04","0","2017-06-09","0","法国猪肋排","刘老汉薄皮吊瓜","1"
"19804","2017-06-04","0","2017-06-20","0","法国猪肋排","泰国椰青","1"
"19804","2017-06-04","0","2017-06-20","0","法国猪肋排","泰国椰青","1"
"19820","2017-06-07","0","2017-06-13","0","重庆小面","生态鲜腐竹","0"
"20057","2017-06-24","0","2017-06-25","1","泰国椰青","红心火龙果","0"
"20057","2017-06-24","0","2017-07-05","0","泰国椰青","六鳌红蜜薯","0"
"20057","2017-06-24","0","2017-06-26","1","泰国椰青","法国猪肋排","0"
"20057","2017-06-24","0","2017-06-25","0","泰国椰青","生态鲜腐竹","0"
"20057","2017-06-24","0","2017-06-25","0","泰国椰青","麻辣小龙虾","0"
