id,first,last,num,userid,total_cnt,promotion_cnt,promotion_amt,regular_cnt,regular_amt
"185382","2017-04-02","2017-05-11","7","185382","9",NULL,NULL,"9","873.6000"
"185401","2017-03-26","2017-03-26","2","185401","2",NULL,NULL,"2","167.9000"
"185403","2017-03-27","2017-05-09","6","185403","6","4","45.0000","2","97.9000"
"185404","2017-03-26","2017-03-26","1","185404","2",NULL,NULL,"2","199.8000"
"185406","2017-04-16","2017-04-16","1","185406","1",NULL,NULL,"1","108.0000"
"185409","2017-03-26","2017-03-28","2","185409","2",NULL,NULL,"2","218.0000"
"185411","2017-03-29","2017-03-29","1","185411","1",NULL,NULL,"1","138.0000"
"185412","2017-04-11","2017-05-08","5","185412","7","2","26.0000","5","500.0000"
"185436","2017-04-04","2017-04-04","1","185436","1",NULL,NULL,"1","149.0000"
"185438","2017-03-26","2017-03-29","2","185438","10","1","10.0000","3","155.0000"
"185446","2017-03-26","2017-03-26","1","185446","1","1","7.0000",NULL,NULL
"185450","2017-03-26","2017-03-26","1","185450","1","1","6.0000",NULL,NULL
"185453","2017-04-25","2017-04-25","1","185453","1",NULL,NULL,"1","48.0000"
"185464","2017-03-26","2017-03-26","1","185464","1","1","6.0000",NULL,NULL
"185474","2017-03-26","2017-03-26","1","185474","1","1","6.0000",NULL,NULL
"185477","2017-03-26","2017-05-05","2","185477","2","1","12.0000","1","128.0000"
"185481","2017-05-06","2017-05-06","1","185481","1",NULL,NULL,"1","62.8000"
"185493","2017-03-27","2017-05-06","21","185493","21","2","16.0000","19","1635.6000"
"185499","2017-03-26","2017-03-26","1","185499","1",NULL,NULL,"1","99.9000"
"185548","2017-03-27","2017-04-14","2","185548","2",NULL,NULL,"2","199.8000"
"185556","2017-03-26","2017-03-26","1","185556","1","1","6.0000",NULL,NULL
"185569","2017-03-26","2017-03-26","1","185569","2",NULL,NULL,"2","199.8000"
"185578","2017-03-26","2017-03-26","1","185578","1",NULL,NULL,"1","59.0000"
"185579","2017-03-27","2017-03-27","1","185579","1",NULL,NULL,"1","98.0000"
"185589","2017-03-27","2017-03-27","1","185589","4",NULL,NULL,"4","192.0000"
"185590","2017-04-26","2017-04-30","2","185590","2",NULL,NULL,"2","317.0000"
"185600","2017-03-27","2017-04-15","6","185600","9",NULL,NULL,"9","875.4000"
"185601","2017-04-01","2017-04-01","1","185601","2",NULL,NULL,"2","177.0000"
"185604","2017-03-26","2017-03-26","1","185604","1","1","7.0000",NULL,NULL
"185606","2017-03-26","2017-03-26","2","185606","3","2","16.0000",NULL,NULL
"185612","2017-03-26","2017-03-28","2","185612","3",NULL,NULL,"3","277.8000"
"185621","2017-03-26","2017-05-10","2","185621","2","1","6.0000","1","39.9000"
"185629","2017-03-26","2017-03-26","1","185629","1","1","12.0000",NULL,NULL
"185632","2017-04-03","2017-04-03","1","185632","1",NULL,NULL,"1","68.0000"
"185643","2017-03-27","2017-04-27","2","185643","2",NULL,NULL,"2","191.0000"
"185651","2017-03-26","2017-03-26","1","185651","1","1","12.0000",NULL,NULL
"185670","2017-03-26","2017-03-26","2","185670","2",NULL,NULL,"2","199.8000"
"185671","2017-03-28","2017-03-28","1","185671","2",NULL,NULL,"2","199.8000"
"185672","2017-03-29","2017-05-09","5","185672","5","1","7.0000","4","409.0000"
"185676","2017-03-26","2017-04-04","5","185676","6","1","6.0000","5","381.5000"
"185678","2017-03-26","2017-04-04","2","185678","2",NULL,NULL,"2","158.9000"
"185680","2017-03-26","2017-03-26","1","185680","1",NULL,NULL,"1","59.0000"
