id,orders,days
"73591","15","5"
"73629","1","6"
"73692","1","9"
"73697","34","2"
"73741","372","0"
"73844","6","6"
"74099","6","4"
"74156","9","2"
"74363","19","2"
"74498","42","3"
"74503","38","2"
"74914","2","22"
"75098","12","2"
"75130","257","0"
"75156","121","0"
"75560","174","0"
"75757","6","1"
"76033","2","21"
"76596","13","1"
"76950","18","0"
"77161","58","0"
"77226","7","2"
"77545","9","3"
"77582","1","28"
"77726","21","0"
"77988","7","7"
"78080","1","6"
"78114","18","0"
"78417","1","9"
"78426","2","6"
"78564","3","4"
"78947","29","2"
"78984","203","0"
"79122","6","19"
"79445","33","2"
"79590","27","3"
"79879","2","9"
"80017","66","1"
"80295","36","2"
"80404","15","7"
"80514","11","1"
"80546","8","1"
"80725","6","8"
"80846","23","5"
"81068","6","7"
"81255","148","0"
"81557","51","1"
"81560","1741","0"
"81580","362","0"
"81860","41","0"
"82081","96","0"
"82158","4","7"
"82179","20","2"
"82193","636","0"
"82413","1","13"
"82459","9","0"
"82481","54","0"
"82514","6","4"
"83479","1","17"
"83621","24","7"
"83635","11","0"
"83740","7","5"
"83771","15","1"
"83947","204","1"
"83993","50","0"
"84255","1","23"
"84265","7","6"
"84290","47","0"
"84459","7","15"
"84584","63","3"
"84694","88","0"
"84751","18","2"
"84960","2","7"
"85077","4","1"
"85184","56","1"
"85210","5","12"
"85229","36","1"
"86021","225","0"
"86377","14","2"
"86463","3","22"
"86586","15","1"
"86907","3","12"
"87134","12","2"
"87867","3","1"
"88024","23","4"
"88209","45","0"
"88505","1","25"
"88541","38","3"
"88623","45","0"
"89317","11","4"
"89491","2","12"
"89655","106","0"
"89874","26","2"
"89968","45","0"
"90003","184","0"
"90425","2","4"
"90498","26","4"
"90506","31","3"
"90739","11","4"
"90796","37","0"
"90816","2","12"
"90878","34","1"
"90884","24","0"
"90939","8","2"
"91192","90","0"
"91274","396","0"
"91683","20","2"
"91692","14","1"
"91752","2","20"
"92000","20","3"
"92044","62","0"
"92104","343","0"
"92122","3","9"
"92229","3","4"
"92233","12","2"
"92292","4","6"
"92384","55","0"
"92518","9","2"
"92579","17","9"
"92837","9","12"
"92860","15","0"
"93294","4","9"
"93333","9","10"
"93433","68","2"
"93506","65","2"
"93569","4","12"
"93595","12","0"
"93850","31","1"
"93878","8","12"
"94098","5","4"
"94174","1","22"
"94250","5","10"
"94397","7","10"
"94627","1","4"
"94689","79","0"
"95360","2","14"
"95445","102","2"
"95620","8","6"
"95673","19","7"
"95712","11","1"
"95894","12","7"
"95948","154","0"
"96114","936","0"
"96192","147","0"
"96319","8","13"
"96494","1","30"
"96660","14","4"
"96669","66","0"
"96678","2","29"
"97027","30","6"
"97065","175","0"
"97213","8","7"
"97293","33","1"
"97387","5","9"
"97724","36","2"
"97748","5","6"
"98259","29","3"
"98670","44","2"
"98736","70","1"
"98885","12","5"
"98976","2","18"
"99008","2","2"
"99127","12","3"
"99478","3","4"
"99481","7","0"
"99489","19","2"
"99535","30","0"
"99709","2","23"
"99754","7","4"
"99945","1","3"
"100230","4","12"
"100521","277","0"
"100592","4","20"
"100625","26","0"
"100741","12","1"
"100921","4","10"
"101075","16","5"
"101107","57","0"
"101164","55","1"
"101207","130","0"
"101369","73","0"
"101926","27","2"
"101963","9","18"
"102107","21","1"
"102151","6","19"
"102438","28","1"
"102570","23","4"
"102580","57","2"
"102645","8","8"
"103006","9","5"
"103027","54","0"
"103120","625","0"
"103142","2","17"
"103222","2","14"
"103314","10","5"
"103505","6","1"
"103520","233","0"
"103552","15","8"
"103861","21","0"
"103922","17","8"
"104352","7","10"
"104506","108","0"
"104663","1","17"
"104832","53","1"
"104858","25","4"
"104873","179","1"
"105432","172","0"
"105496","51","0"
"105630","25","6"
"105761","18","2"
"105820","23","0"
"105830","2","10"
"105920","13","8"
"106140","24","0"
"106725","95","0"
"107346","211","1"
"107550","86","0"
"107885","22","0"
"107989","4","9"
"108429","4","25"
"108477","14","4"
"108746","9","2"
"108919","2","7"
"108949","4","6"
"109034","44","0"
"109273","25","3"
"109390","2","0"
"109462","42","1"
"109560","34","1"
"109638","227","0"
"109724","16","1"
"109774","8","3"
"109825","29","1"
"110143","18","0"
"110200","15","0"
"110221","19","2"
"110550","20","2"
"110552","183","0"
"110588","61","0"
"110641","9","9"
"110676","10","2"
"110766","3","19"
"110808","81","3"
"110839","26","2"
"110936","22","1"
"111039","46","0"
"111138","8","0"
"111390","12","1"
"111401","36","0"
"111493","107","1"
"111948","127","2"
"112120","30","0"
"112343","37","1"
"112540","15","4"
"112610","5","18"
"112801","52","1"
"112859","4","11"
"113101","14","0"
"113140","3","7"
"113329","35","1"
"113383","3","16"
"113415","2","23"
"113653","134","0"
"113672","3","3"
"113865","44","1"
"113868","168","0"
"113892","5","1"
"113974","5","4"
"113988","97","0"
"113996","18","0"
"114049","7","6"
"114090","7","0"
"114338","25","6"
"114385","20","7"
"114479","3","20"
"114521","1","23"
"114765","14","4"
"114969","52","1"
"115100","20","4"
"115156","2","23"
"115266","33","5"
"115795","11","2"
"116000","28","3"
"116087","38","2"
"116249","1","18"
"116646","16","2"
"116955","29","1"
"116959","50","0"
"117116","4","16"
"117253","1","19"
"117442","10","2"
"117765","16","3"
"117952","1","13"
"118242","107","1"
"118351","4","2"
"118480","3","10"
"118644","8","0"
"118729","20","0"
"119214","11","9"
"119420","17","1"
"119443","14","10"
"119468","1","22"
"119537","3","6"
"119824","54","0"
"119875","9","2"
"120219","7","28"
"120308","13","2"
"120418","12","4"
"120534","20","1"
"120601","72","0"
"120622","17","6"
"120659","8","5"
"120662","1","16"
"120702","29","2"
"120763","34","0"
"120770","585","0"
"120952","402","0"
"121059","2","5"
"121387","10","3"
"121791","41","4"
"121830","115","0"
"121831","20","9"
"121843","27","0"
"121876","32","1"
"121922","15","1"
"122342","16","6"
"122344","1","18"
"122401","13","0"
"122418","15","4"
"122583","301","0"
"122936","33","0"
"122973","18","3"
"123031","9","3"
"123134","8","3"
"123170","6","9"
"123258","8","0"
"123608","1","29"
"123650","2","9"
"123665","5","3"
"123688","27","2"
"123705","52","1"
"123783","7","2"
"123814","24","3"
"123886","5","4"
"123900","11","6"
"124016","401","0"
"124145","8","0"
"124346","2","5"
"124447","7","8"
"124656","4","10"
"124854","10","9"
"124998","30","1"
"125114","218","0"
"125139","21","12"
"125288","1","7"
"125292","109","0"
"125305","14","0"
"125416","6","13"
"126012","76","1"
"126207","8","11"
"126268","179","1"
"126594","93","0"
"126627","14","4"
"126821","21","0"
"126856","18","2"
"126865","6","1"
"127048","8","1"
"127302","27","2"
"127540","244","0"
"127639","3","21"
"127849","264","0"
"128141","39","1"
"128203","106","0"
"128248","25","0"
"128249","24","2"
"128416","19","0"
"128446","233","0"
"128553","6","8"
"128555","5","2"
"128610","4","12"
"128620","80","0"
"128803","13","2"
"128878","1","8"
"129129","48","1"
"129206","3","25"
"129266","64","1"
"129306","3","13"
"129320","19","4"
"129416","14","20"
"129752","492","0"
"130100","5","8"
"130220","8","1"
"130256","10","9"
"130302","166","0"
"130383","23","1"
"130455","7","6"
"130752","1","29"
"130857","1","28"
"130914","1","20"
"131206","16","1"
"131234","471","0"
"131428","1","27"
"131437","8","13"
"131496","4","10"
"131521","15","0"
"131541","22","1"
"131550","2","26"
"131701","3","13"
"131754","8","16"
"131877","110","0"
"132013","15","0"
"132187","5","9"
"132218","1","18"
"132306","33","0"
"133350","6","8"
"133430","9","5"
"133483","12","11"
"133571","15","4"
"133838","6","3"
"133840","637","0"
"133846","3","10"
"133883","2","18"
"133989","12","2"
"133994","5","2"
"134012","1","8"
"134160","2","11"
"134213","6","4"
"134264","8","3"
"134289","100","0"
"134483","160","0"
"134510","28","3"
"134889","114","2"
"134903","11","13"
"134920","16","0"
"134977","341","0"
"135063","137","0"
"135071","25","1"
"135390","12","7"
"135529","284","0"
"135600","11","1"
"135650","31","1"
"135723","15","1"
"135759","22","5"
"135884","656","0"
"136082","202","0"
"136162","6","0"
"136362","6","18"
"136516","17","3"
"136682","76","0"
"136755","32","0"
"136788","374","0"
"136906","10","0"
"136993","16","4"
"136997","13","1"
"137261","3","12"
"137351","18","3"
"137366","27","2"
"137377","200","0"
"137381","7","12"
"137434","14","1"
"137489","24","3"
"137548","10","12"
"137706","5","18"
"137720","3","26"
"137733","13","6"
"137751","15","2"
"137854","9","7"
"138003","6","5"
"138182","1","22"
"138259","76","0"
"138270","10","2"
"138283","18","0"
"138295","34","2"
"138364","11","3"
"138391","11","0"
"138395","9","6"
"138402","3","10"
"138530","16","11"
"138615","10","1"
"138641","169","0"
"138658","183","2"
"138702","9","3"
"138737","5","10"
"139056","250","0"
"139161","10","6"
"139163","1","16"
"139256","15","7"
"139356","2","3"
"139370","2","17"
"139421","6","6"
"139457","753","0"
"139489","35","1"
"139534","3","14"
"139586","42","1"
"139598","20","0"
"139648","15","4"
"139654","10","2"
"139800","6","2"
"139861","4","13"
"139918","57","0"
"139973","5","6"
"140011","79","0"
"140133","6","1"
"140238","5","6"
"140249","4","7"
"140291","31","1"
"140321","27","3"
"140340","7","1"
"140367","22","2"
"140431","1","27"
"140436","1","18"
"140472","5","3"
"140902","1","30"
"140983","363","0"
"141025","5","10"
"141220","30","1"
"141424","7","3"
"141531","18","4"
"141644","6","12"
"141661","5","13"
"141789","4","11"
"141902","13","7"
"142119","2","23"
"142240","92","0"
"142286","11","2"
"142295","52","0"
"142338","10","0"
"142466","15","3"
"142596","23","2"
"142637","16","4"
"142715","4","1"
"142982","54","1"
"143014","33","0"
"143054","1","17"
"143145","20","6"
"143390","57","0"
"143391","9","7"
"143409","10","10"
"143462","1","18"
"143604","240","1"
"143715","6","4"
"143735","5","0"
"144063","428","0"
"144218","161","0"
"144236","32","0"
"144383","6","10"
"144501","2","3"
"144536","474","0"
"144604","8","9"
"144612","366","0"
"144666","1","21"
"144689","32","2"
"144695","34","4"
"144841","20","2"
"144857","24","0"
"144925","2","1"
"145080","14","10"
"145089","89","2"
"145201","259","0"
"145222","3","22"
"145287","57","1"
"145346","39","0"
"145393","124","1"
"145431","32","0"
"145519","15","0"
"145527","8","2"
"145553","11","5"
"145839","4","13"
"146093","21","3"
"146119","24","4"
"146273","11","10"
"146279","19","6"
"146356","10","0"
"146730","19","6"
"146755","8","9"
"147001","8","2"
"147176","14","0"
"147220","2","12"
"147276","27","5"
"147560","7","2"
"147562","21","2"
"147650","30","1"
"147664","1","21"
"147706","126","0"
"147901","10","5"
"147902","7","1"
"148123","118","2"
"148142","4","1"
"148392","16","2"
"148430","120","0"
"148503","10","3"
"148726","4","12"
"148751","6","10"
"148788","1","21"
"148961","234","0"
"149364","14","12"
"149395","23","1"
"149565","10","6"
"149594","12","11"
"149666","14","3"
"149863","24","3"
"149927","1","28"
"149934","11","8"
"150129","11","3"
"150342","47","1"
"150549","3","27"
"150553","15","4"
"150913","46","0"
"151140","10","8"
"151281","3","15"
"151461","10","10"
"151573","2","8"
"151766","5","12"
"151972","7","2"
"152050","26","8"
"152075","6","10"
"152101","24","2"
"152216","7","1"
"152235","19","3"
"152284","15","1"
"152445","1050","0"
"152512","2","0"
"152539","102","0"
"152625","53","0"
"152740","9","3"
"152768","10","1"
"152929","21","7"
"152937","27","0"
"153023","65","1"
"153229","4","13"
"153258","2","18"
"153343","4","11"
"153526","1","18"
"153573","6","6"
"153640","34","8"
"153699","34","0"
"153707","4","7"
"153725","54","0"
"153737","4","17"
"154020","3","11"
"154028","50","0"
"154068","2","2"
"154100","56","1"
"154187","1","17"
"154229","2","0"
"154272","4","9"
"154333","1","30"
"154351","90","1"
"154403","60","0"
"154595","10","5"
"154775","4","5"
"154850","1","7"
"154929","3","25"
"154946","36","3"
"155025","4","4"
"155343","1","3"
"155461","1","1"
"155463","37","2"
"155580","109","0"
"155590","10","10"
"155626","8","6"
"155675","11","2"
"156055","1","26"
"156076","7","4"
"156140","393","0"
"156188","202","0"
"156270","39","0"
"156301","49","1"
"156405","179","0"
"156459","10","4"
"156605","226","0"
"156609","3","20"
"156721","15","12"
"156752","1","9"
"156914","137","2"
"156981","54","4"
"156996","7","0"
"157047","1","30"
"157149","8","1"
"157284","12","1"
"157405","100","2"
"157465","6","1"
"157524","1","10"
"157688","90","0"
"157954","2","29"
"157989","2","27"
"158275","82","0"
"158330","3","3"
"158331","8","6"
"158343","7","2"
"158367","7","6"
"158388","1","13"
"158458","14","2"
"158502","9","18"
"158615","1","7"
"158811","12","5"
"158883","52","0"
"158902","2","8"
"159117","35","0"
"159204","2","20"
"159324","3","18"
"159411","7","13"
"159490","3","21"
"159810","9","6"
"159829","81","0"
"159858","1","30"
"160017","20","4"
"160042","29","1"
"160063","3","23"
"160262","7","13"
"160352","6","3"
"160357","50","1"
"160360","11","7"
"160374","21","2"
"160412","11","4"
"160426","13","1"
"160431","11","0"
"160445","284","1"
"160461","5","12"
"160477","14","2"
"160486","3","24"
"160537","3","14"
"160555","4","0"
"160598","2","11"
"160730","5","8"
"160848","42","0"
"160896","10","3"
"160970","3","3"
"161030","4","2"
"161117","6","12"
"161121","38","1"
"161265","6","12"
"161276","29","2"
"161292","8","1"
"161294","13","0"
"161311","16","6"
"161473","13","2"
"161500","13","2"
"161626","2","22"
"161643","53","1"
"161787","245","0"
"161809","211","0"
"161813","49","1"
"161834","13","6"
"161999","14","15"
"162042","17","3"
"162071","13","11"
"162157","5","13"
"162212","3","11"
"162213","13","4"
"162215","7","4"
"162261","40","9"
"162309","13","5"
"162313","6","14"
"162539","35","2"
"162592","2","9"
"162709","2","18"
"162774","3","9"
"162925","4","11"
"163115","14","10"
"163143","23","8"
"163251","92","1"
"163319","2","29"
"163521","8","1"
"163850","5","8"
"163899","6","10"
"164104","1","23"
"164235","30","1"
"164311","19","2"
"164705","15","0"
"164853","18","2"
"164871",NULL,"36"
"164881","1","28"
"165137","11","4"
"165151","3","9"
"165322","6","8"
"165411","20","0"
"165413","1","30"
"165421","5","5"
"165440","24","0"
"165503","49","0"
"165574","70","0"
"165578","28","3"
"165609","22","4"
"165699","6","4"
"165731","3","12"
"165901","4","4"
"165933","1","28"
"165945","2","17"
"166094","23","3"
"166188","16","3"
"166251","2","23"
"166289","16","10"
"166553","12","1"
"166743","6","3"
"166853","23","1"
"166878","16","9"
"166964","331","0"
"167045","1","28"
"167128","2","19"
"167154","1","24"
