id,first,last,num,total_cnt,promotion_cnt,coupon_cnt
"263915","2017-04-22","2017-05-28","2","2","2",NULL
"263922","2017-04-22","2017-05-25","3","3","2",NULL
"263923","2017-05-06","2017-05-23","3","3",NULL,"1"
"263927","2017-04-22","2017-05-28","13","13","2","3"
"263955","2017-04-22","2017-05-30","11","11","2",NULL
"264153","2017-05-23","2017-05-23","1","1",NULL,NULL
"264223","2017-05-12","2017-05-30","3","3","1","2"
"264319","2017-05-12","2017-05-31","2","2","1","2"
"264370","2017-05-14","2017-06-03","3","3",NULL,"1"
"264377","2017-05-14","2017-06-04","2","2",NULL,"1"
"264510","2017-04-26","2017-06-08","5","5",NULL,"1"
"264559","2017-06-07","2017-06-07","1","1",NULL,NULL
"264567","2017-06-03","2017-06-03","1","1",NULL,NULL
"264667","2017-05-09","2017-06-01","12","12","2","4"
"264843","2017-04-22","2017-05-26","3","3","2","1"
"264948","2017-05-26","2017-05-26","1","1","1",NULL
"264986","2017-05-01","2017-05-30","5","5",NULL,NULL
"264990","2017-05-15","2017-05-25","3","3","2",NULL
"264997","2017-05-12","2017-06-03","12","12","1","4"
"265006","2017-05-22","2017-05-24","2","2",NULL,"2"
"265060","2017-04-24","2017-06-08","5","5","1","1"
"265137","2017-05-26","2017-05-29","2","2","1",NULL
"265151","2017-05-29","2017-05-31","3","3",NULL,"2"
"265215","2017-06-04","2017-06-04","2","2",NULL,"1"
"265264","2017-06-04","2017-06-04","1","1",NULL,NULL
"265322","2017-05-10","2017-05-28","2","2",NULL,"1"
"265356","2017-05-24","2017-05-24","2","2",NULL,NULL
"265362","2017-04-22","2017-06-03","2","2","1","1"
"265418","2017-05-05","2017-05-29","7","7","1",NULL
"265494","2017-04-23","2017-05-31","4","4",NULL,NULL
"265554","2017-04-26","2017-05-24","3","3",NULL,NULL
"265623","2017-04-24","2017-05-28","10","10","1",NULL
"265650","2017-04-22","2017-06-08","5","5",NULL,NULL
"265665","2017-05-28","2017-05-28","1","1","1",NULL
"265668","2017-05-02","2017-06-08","3","3","1",NULL
"265776","2017-04-27","2017-06-08","2","2",NULL,NULL
"265963","2017-04-23","2017-06-02","3","3","2",NULL
"266103","2017-04-23","2017-05-27","3","3","2","1"
"266177","2017-04-24","2017-05-25","4","4",NULL,NULL
"266179","2017-05-24","2017-05-24","2","2",NULL,"2"
"266294","2017-05-28","2017-05-28","1","1",NULL,NULL
"266313","2017-04-23","2017-06-05","7","7","1","3"
"266336","2017-05-14","2017-05-26","3","3","2","1"
"266446","2017-04-23","2017-06-04","4","4","2","1"
"266488","2017-04-26","2017-05-29","6","6",NULL,"4"
"266608","2017-04-23","2017-06-01","4","4",NULL,NULL
"266614","2017-06-07","2017-06-07","1","1",NULL,"1"
"266788","2017-05-28","2017-05-28","1","1",NULL,NULL
"266810","2017-05-26","2017-05-26","1","1","1",NULL
"266854","2017-05-26","2017-05-26","1","1",NULL,NULL
"266908","2017-04-28","2017-06-08","3","3",NULL,"2"
"266928","2017-04-23","2017-06-02","13","14","3",NULL
"267122","2017-06-06","2017-06-06","2","2",NULL,NULL
"267138","2017-04-23","2017-06-05","11","11","2","2"
"267176","2017-05-01","2017-06-08","7","7","1","1"
"267249","2017-05-26","2017-05-28","3","3","1","2"
"267316","2017-04-23","2017-05-23","2","2","1",NULL
"267379","2017-04-23","2017-06-06","12","12","1",NULL
"267382","2017-04-26","2017-05-27","5","5","1",NULL
"267444","2017-04-27","2017-05-28","2","2","2",NULL
"267519","2017-05-04","2017-06-02","2","2","1",NULL
"267533","2017-05-21","2017-06-07","6","6","2",NULL
"267551","2017-06-06","2017-06-06","1","1",NULL,"1"
"267555","2017-06-05","2017-06-07","3","3",NULL,"1"
"267689","2017-05-17","2017-05-23","2","2",NULL,NULL
"267762","2017-05-16","2017-05-27","2","2",NULL,NULL
"267915","2017-05-28","2017-05-28","1","1","1",NULL
"267929","2017-06-08","2017-06-08","1","1","1",NULL
"267973","2017-05-22","2017-05-26","5","5",NULL,"2"
"268005","2017-04-24","2017-05-29","12","12","3","3"
"268017","2017-05-27","2017-05-27","1","1",NULL,NULL
"268081","2017-06-08","2017-06-08","1","1",NULL,"1"
"268084","2017-06-03","2017-06-03","1","1",NULL,NULL
"268100","2017-05-10","2017-06-04","10","10",NULL,"1"
"268162","2017-05-02","2017-06-02","2","2",NULL,NULL
"268190","2017-04-25","2017-05-23","5","5","1","2"
"268241","2017-05-25","2017-05-31","2","2",NULL,NULL
"268285","2017-04-24","2017-05-24","5","6","1",NULL
"268315","2017-05-26","2017-05-26","1","1","1",NULL
"268398","2017-04-24","2017-05-26","2","2","1",NULL
"268587","2017-04-25","2017-05-27","2","2","1",NULL
"268590","2017-04-24","2017-06-04","3","3",NULL,"2"
"268788","2017-05-15","2017-05-25","3","3","1",NULL
"268802","2017-04-24","2017-06-06","3","3",NULL,NULL
"268856","2017-04-24","2017-06-08","6","6",NULL,NULL
"268875","2017-05-09","2017-05-26","2","2","2",NULL
"268894","2017-04-24","2017-05-25","4","4",NULL,"2"
"268960","2017-05-30","2017-05-30","1","1",NULL,NULL
"268962","2017-06-07","2017-06-07","1","1",NULL,NULL
"268983","2017-04-30","2017-05-27","11","11","2","4"
"269012","2017-05-04","2017-05-27","4","4","3",NULL
"269039","2017-05-27","2017-06-07","3","3","2",NULL
"269079","2017-04-24","2017-06-03","7","7","1","4"
"269102","2017-04-27","2017-05-27","5","5","1",NULL
"269208","2017-04-24","2017-05-30","5","5","1",NULL
"269221","2017-05-30","2017-05-30","1","1","1",NULL
"269225","2017-05-12","2017-05-26","6","6","3",NULL
"269244","2017-05-28","2017-05-28","1","1",NULL,"1"
"269374","2017-05-24","2017-05-24","1","1",NULL,"1"
"269383","2017-05-07","2017-06-07","6","6","1",NULL
"269397","2017-05-23","2017-05-23","1","2",NULL,"1"
"269402","2017-04-25","2017-05-27","3","3",NULL,"1"
"269449","2017-04-24","2017-05-27","7","7","1",NULL
"269453","2017-06-03","2017-06-03","1","1",NULL,NULL
"269496","2017-04-24","2017-05-29","2","2","1",NULL
"269503","2017-04-25","2017-05-26","7","7","1",NULL
"269561","2017-05-11","2017-05-23","7","7",NULL,"3"
"269740","2017-04-24","2017-06-06","11","11","2","1"
"269875","2017-05-13","2017-06-06","2","2","1",NULL
"270047","2017-05-27","2017-05-27","2","2",NULL,"2"
"270089","2017-06-02","2017-06-02","1","1",NULL,NULL
"270112","2017-05-27","2017-05-27","1","1","1",NULL
"270134","2017-04-24","2017-05-25","2","2","1",NULL
"270178","2017-05-15","2017-06-08","2","2",NULL,NULL
"270184","2017-04-30","2017-05-27","23","26","4","7"
"270231","2017-05-09","2017-05-29","4","4",NULL,NULL
"270379","2017-04-25","2017-05-27","5","5","1","1"
"270539","2017-06-04","2017-06-04","1","1",NULL,NULL
"270570","2017-04-28","2017-05-28","6","6",NULL,"3"
"270571","2017-04-30","2017-05-24","5","5",NULL,NULL
"270668","2017-05-14","2017-06-05","2","2","1",NULL
"270674","2017-06-06","2017-06-06","1","1",NULL,NULL
"270716","2017-05-23","2017-05-23","1","1",NULL,NULL
"270734","2017-05-26","2017-05-26","1","1","1",NULL
"270812","2017-04-25","2017-06-01","3","3","1","1"
"270816","2017-05-20","2017-05-23","3","3",NULL,"1"
"270830","2017-04-25","2017-05-27","3","3","1","1"
"270944","2017-05-19","2017-06-04","2","2",NULL,NULL
"271012","2017-04-29","2017-05-26","5","5","1",NULL
"271034","2017-04-25","2017-05-27","10","10","3","8"
"271092","2017-04-26","2017-05-25","7","7","3","1"
"271172","2017-05-28","2017-05-28","1","1",NULL,"1"
"271243","2017-04-27","2017-05-26","4","4","3",NULL
"271263","2017-04-25","2017-05-25","7","7","1","3"
"271455","2017-06-07","2017-06-07","1","1",NULL,"1"
"271474","2017-05-28","2017-05-28","1","1",NULL,NULL
"271483","2017-05-03","2017-06-05","4","4",NULL,NULL
