
id,day,time
"554","1","2017-03-12 13"
"1059","7","2017-03-11 21"
"1059","7","2017-03-11 21"
"1059","1","2017-03-19 20"
"1059","1","2017-03-19 20"
"1095","1","2017-03-12 14"
"1095","7","2017-05-13 00"
"1095","7","2017-05-13 00"
"1298","7","2017-04-01 20"
"1360","7","2017-03-04 01"
"1437","1","2017-05-07 10"
"1437","1","2017-05-07 10"
"1472","7","2017-03-11 12"
"1472","7","2017-03-11 17"
"1472","1","2017-03-12 06"
"1472","1","2017-03-12 15"
"1472","7","2017-03-18 12"
"1472","7","2017-03-18 12"
"1472","7","2017-03-18 13"
"1472","7","2017-03-18 13"
"1472","7","2017-03-18 17"
"1472","1","2017-03-19 14"
"1472","1","2017-03-26 10"
"1472","1","2017-04-02 20"
"1472","1","2017-04-02 21"
"1472","7","2017-04-08 17"
"1472","7","2017-04-15 08"
"1472","7","2017-04-15 09"
"1472","7","2017-04-15 21"
"1472","1","2017-04-16 22"
"1472","1","2017-04-16 22"
"1472","1","2017-04-16 22"
"1472","7","2017-05-20 15"
"1472","7","2017-05-20 16"
"1487","7","2017-04-29 15"
"1487","7","2017-04-29 15"
"1487","7","2017-04-29 15"
"1568","7","2017-03-11 12"
"1568","7","2017-03-11 12"
"1568","7","2017-03-11 15"
"1568","7","2017-03-11 16"
"1568","1","2017-03-12 22"
"1568","1","2017-03-12 22"
"1568","7","2017-03-18 13"
"1568","7","2017-03-18 13"
"1568","7","2017-03-18 14"
"1568","7","2017-03-18 17"
"1568","7","2017-03-18 17"
"1568","7","2017-03-18 17"
"1568","7","2017-03-18 19"
"1568","7","2017-03-25 10"
"1568","7","2017-03-25 10"
"1568","7","2017-03-25 10"
"1568","7","2017-03-25 11"
"1568","1","2017-03-26 22"
"1568","7","2017-04-01 18"
"1568","1","2017-04-02 16"
"1568","1","2017-04-02 16"
"1568","7","2017-04-08 12"
"1568","7","2017-04-08 12"
"1568","7","2017-04-08 21"
"1568","1","2017-04-16 14"
"1568","1","2017-04-16 16"
"1568","1","2017-04-16 22"
"1568","1","2017-04-16 22"
"1568","1","2017-04-16 22"
"1568","1","2017-04-23 20"
"1568","1","2017-04-23 22"
"1568","7","2017-05-06 22"
"1568","7","2017-05-06 22"
"1568","1","2017-05-07 00"
"1568","1","2017-05-07 00"
"1568","7","2017-05-13 10"
"1568","7","2017-05-13 10"
