id,hour
"3407","19"
"3407","22"
"3408","21"
"3409","18"
"3409","19"
"3446","10"
"3452","13"
"3452","16"
"3452","19"
"3452","20"
"3454","08"
"3455","12"
"3455","20"
"3474","08"
"3474","11"
"3495","12"
"3496","10"
"3497","09"
"3502","12"
"3502","15"
"3502","18"
"3504","09"
"3539","19"
"3550","04"
"3676","15"
"3676","23"
"3700","16"
"3823","14"
"3847","14"
"3883","17"
"3909","10"
"3984","12"
"3987","19"
"3989","15"
"4000","11"
"4000","19"
"4003","14"
"4003","16"
"4006","09"
"4006","11"
"4032","10"
"4115","19"
"4123","12"
"4123","14"
"4128","17"
"4128","20"
"4135","09"
"4135","20"
"4158","16"
"4194","10"
"4196","07"
"4196","20"
"4213","13"
"4219","13"
"4234","11"
"4234","12"
"4234","14"
"4245","12"
"4245","15"
"4247","14"
"4249","09"
"4250","18"
"4250","19"
"4254","14"
"4255","08"
"4255","22"
"4256","20"
"4257","15"
"4258","14"
"4259","09"
"4259","21"
"4259","22"
"4260","19"
"4262","14"
"4262","20"
"4262","22"
"4262","23"
"4263","09"
"4263","20"
"4264","20"
"4265","10"
"4266","12"
"4266","18"
"4267","10"
"4267","21"
"4268","07"
"4268","22"
"4270","12"
"4270","19"
"4271","09"
"4275","22"
"4277","08"
"4279","21"
"4280","18"
"4284","10"
"4284","14"
"4284","15"
"4284","21"
"4284","23"
"4285","10"
"4286","14"
"4287","14"
"4288","19"
"4289","08"
"4292","16"
"4298","15"
"4299","09"
"4299","12"
"4299","21"
"4301","21"
"4304","13"
"4306","14"
"4306","21"
"4306","22"
"4307","12"
"4307","19"
"4307","20"
"4308","08"
"4309","18"
"4310","09"
"4310","17"
"4311","16"
"4311","19"
"4313","14"
"4316","12"
"4317","08"
"4323","22"
"4326","21"
"4327","14"
"4328","17"
"4328","20"
"4328","22"
"4329","09"
"4331","09"
"4334","16"
"4335","09"
"4337","15"
"4340","19"
"4342","12"
"4345","11"
"4350","09"
"4356","10"
"4356","12"
"4361","05"
"4361","13"
"4361","14"
"4376","09"
"4377","09"
"4377","12"
"4377","19"
"4387","18"
"4427","22"
"4433","11"
"4433","12"
"4433","15"
"4433","16"
"4433","19"
"4433","20"
"4433","21"
"4475","11"
"4475","16"
"4521","09"
"4521","15"
"4521","20"
"4521","21"
"4521","22"
"4530","18"
"4635","18"
"4636","12"
"4636","18"
"4636","20"
"4636","21"
"4640","05"
"4666","12"
"4719","19"
"4744","20"
"4747","19"
"4760","19"
"4761","19"
"4799","12"
"4799","20"
"4813","09"
"4853","21"
"4856","17"
"4856","22"
"4857","13"
"4858","17"
"4858","20"
"4860","22"
"4863","09"
"4864","10"
"4866","13"
"4868","08"
"4868","13"
"4870","12"
"4870","13"
"4871","22"
"4874","20"
"4875","21"
"4876","10"
"4876","16"
"4876","19"
"4877","17"
"4877","22"
"4878","16"
"4878","21"
"4879","10"
"4880","10"
"4884","14"
"4884","15"
"4887","10"
"4888","12"
"4896","10"
"4901","07"
"4901","12"
"4901","22"
"4903","16"
"4905","11"
"4905","19"
"4907","12"
"4908","00"
"4908","17"
"4910","19"
"4912","00"
"4914","16"
"4923","15"
"4938","10"
"4940","15"
"4940","18"
"4941","09"
"4943","11"
"4943","16"
"4943","21"
"4945","17"
"4946","12"
"4946","16"
"4946","22"
"4947","10"
"4949","20"
"4953","08"
"4954","20"
"4955","13"
"4955","17"
"4956","10"
"4956","21"
"4959","19"
"4964","18"
"4965","12"
"4965","16"
"4965","18"
"4967","19"
"4971","17"
"4986","10"
"4986","13"
"4986","14"
"4986","19"
"5015","12"
"5015","18"
"5034","18"
"5038","13"
"5087","09"
"5087","18"
"5099","07"
"5099","20"
"5138","23"
"5152","21"
"5172","10"
"5172","20"
"5350","22"
"5356","10"
"5434","07"
"5434","13"
"5442","10"
"5625","19"
"5676","17"
"5729","19"
"5751","21"
"5759","18"
"5764","10"
"5769","21"
"5770","15"
"5774","00"
"5774","01"
"5777","00"
"5777","05"
"5779","13"
"5780","11"
"5787","12"
"5788","13"
"5788","17"
"5788","18"
"5788","19"
"5789","12"
"5791","14"
"5794","15"
"5794","22"
"5795","21"
"5805","08"
"5806","21"
"5809","08"
"5811","09"
"5811","20"
"5812","10"
"5813","08"
"5814","10"
"5817","07"
"5818","08"
"5818","09"
"5818","14"
"5818","15"
"5819","08"
"5820","09"
"5820","20"
"5821","10"
"5821","14"
"5823","12"
"5828","18"
"5830","12"
"5836","19"
"5840","23"
"5852","12"
"5861","21"
"5869","09"
"5905","09"
"5921","08"
"5937","02"
"5937","23"
"6084","13"
"6084","18"
"6126","10"
"6126","14"
"6128","07"
"6160","00"
"6168","12"
"6231","19"
"6255","19"
"6260","08"
"6262","15"
"6266","16"
"6266","20"
"6270","21"
"6274","12"
"6275","07"
"6275","08"
"6275","09"
"6275","16"
"6279","06"
"6279","16"
"6283","10"
"6283","12"
"6288","11"
"6288","22"
"6291","22"
"6292","15"
"6294","12"
"6310","11"
"6311","14"
"6311","19"
"6317","12"
"6317","18"
"6337","21"
"6337","22"
"6344","21"
"6356","09"
"6358","20"
"6358","22"
"6376","08"
"6376","09"
"6389","21"
"6401","19"
"6456","17"
"6469","18"
"6492","08"
"6492","11"
"6612","12"
"6705","10"
"6710","14"
"6724","16"
"6725","15"
"6726","17"
"6734","13"
"6742","13"
"6746","01"
"6756","08"
"6756","10"
"6756","13"
"6756","14"
"6756","19"
"6760","10"
"6764","12"
"6764","13"
"6766","00"
"6770","00"
"6791","23"
"6793","12"
"6799","14"
"6818","09"
"6818","15"
"6818","16"
"6818","22"
"6903","13"
"6903","18"
"6903","21"
"6904","00"
"6904","20"
"6904","23"
"6907","11"
"6907","22"
"6913","08"
"6913","19"
"6914","12"
"6915","15"
"6915","23"
"6924","00"
"6924","23"
"7022","19"
