id,zxs,orders,days_range,frequency
"4249","4249","50","274","5.4800"
"4250","237","59","488","8.2712"
"4254","237","11","408","37.0909"
"4255","237","31","490","15.8065"
"4256","237","16","389","24.3125"
"4257","237","2","479","239.5000"
"4258","4258","82","461","5.6220"
"4259","4259","60","479","7.9833"
"4260","237","62","480","7.7419"
"4261","237","23","483","21.0000"
"4262","237","6","433","72.1667"
"4263","237","23","473","20.5652"
"4264","23938","1","279","279.0000"
"4265","237","27","491","18.1852"
"4266","237","22","467","21.2273"
"4267","237","6","415","69.1667"
"4268","237","7","430","61.4286"
"4270","4270","58","482","8.3103"
"4271","237","2","351","175.5000"
"4273","237","1","422","422.0000"
"4275","237","45","483","10.7333"
"4277","237","20","455","22.7500"
"4278","237","5","459","91.8000"
"4279","237","17","467","27.4706"
"4280","237","5","351","70.2000"
"4284","237","12","481","40.0833"
"4285","4285","105","489","4.6571"
"4286","237","27","454","16.8148"
"4287","237","11","346","31.4545"
"4288","237","1","387","387.0000"
"4289","237","20","166","8.3000"
"4292","237","10","475","47.5000"
"4298","237","18","320","17.7778"
"4299","237","21","443","21.0952"
"4301","237","32","485","15.1563"
"4304","237","19","363","19.1053"
"4306","237","3","241","80.3333"
"4307","237","24","470","19.5833"
"4308","237","37","435","11.7568"
"4309","237","3","369","123.0000"
"4310","4310","38","240","6.3158"
"4311","8634","5","252","50.4000"
"4313","4313","25","473","18.9200"
"4314","237","4","469","117.2500"
"4316","237","26","474","18.2308"
"4317","237","4","398","99.5000"
"4323","33281","2","91","45.5000"
"4326","237","1","307","307.0000"
"4327","237","3","33","11.0000"
"4328","237","13","458","35.2308"
"4329","237","23","489","21.2609"
"4331","237","42","488","11.6190"
"4332","237","3","348","116.0000"
"4334","237","39","461","11.8205"
"4335","4335","7","72","10.2857"
"4337","237","2","358","179.0000"
"4338","237","2",NULL,NULL
"4340","4340","118","174","1.4746"
"4342","237","32","466","14.5625"
"4345","237","13","456","35.0769"
"4350","4350","31","476","15.3548"
"4351","237","5","394","78.8000"
"4356","237","64","380","5.9375"
"4361","237","3","385","128.3333"
"4376","4376","26","442","17.0000"
"4377","4879","13","252","19.3846"
"4387","237","287","485","1.6899"
"4413","237","7","473","67.5714"
"4427","237","23","36","1.5652"
"4433","237","15","396","26.4000"
"4475","237","2","241","120.5000"
"4521","4521","10","374","37.4000"
"4530","4530","57","293","5.1404"
"4635","4640","1","378","378.0000"
"4636","4640","9","438","48.6667"
"4640","4640","3","397","132.3333"
"4655","4655","1","152","152.0000"
"4666","62","22","354","16.0909"
"4719","3398","4","471","117.7500"
"4744","273","11","397","36.0909"
"4747","0","1","380","380.0000"
"4760","320","4","452","113.0000"
"4761","320","5","260","52.0000"
"4799","156981","2","23","11.5000"
"4813","2169","2","443","221.5000"
"4853","8634","89","473","5.3146"
"4856","237","9","372","41.3333"
"4857","237","12","474","39.5000"
"4858","4858","31","483","15.5806"
"4859","237","16","470","29.3750"
"4860","237","12","259","21.5833"
"4863","237","18","485","26.9444"
"4864","237","27","450","16.6667"
"4866","138658","1","0","0.0000"
"4868","237","4","287","71.7500"
"4869","237","1","0","0.0000"
"4870","237","47","483","10.2766"
"4871","237","18","441","24.5000"
"4874","4874","36","470","13.0556"
"4875","237","15","470","31.3333"
"4876","237","4","427","106.7500"
"4877","96114","9","199","22.1111"
"4878","237","5","375","75.0000"
"4879","4879","105","485","4.6190"
"4880","4880","105","321","3.0571"
"4884","4884","44","475","10.7955"
"4887","237","10","381","38.1000"
"4888","237","2","443","221.5000"
"4893","237","1","468","468.0000"
"4896","237","6","398","66.3333"
"4898","237","14","311","22.2143"
"4901","237","3","404","134.6667"
"4903","237","1","339","339.0000"
"4904","110546","4","6","1.5000"
"4905","4874","2",NULL,NULL
"4907","4907","2","143","71.5000"
"4908","4908","2","110","55.0000"
"4909","237","2","474","237.0000"
"4910","237","6","423","70.5000"
"4912","8634","7","426","60.8571"
"4914","237","12","422","35.1667"
"4920","237","4","65","16.2500"
"4923","237","2",NULL,NULL
"4938","237","18","441","24.5000"
"4940","237","57","482","8.4561"
"4941","237","8","469","58.6250"
"4943","237","3","320","106.6667"
"4945","237","93","472","5.0753"
"4946","237","6","390","65.0000"
"4947","4947","52","466","8.9615"
"4949","237","2","253","126.5000"
"4953","4953","2","429","214.5000"
"4954","237","17","468","27.5294"
"4955","4955","18","430","23.8889"
"4956","237","6","188","31.3333"
"4959","237","14","473","33.7857"
"4964","4964","16","483","30.1875"
"4965","237","28","479","17.1071"
"4967","237","40","426","10.6500"
"4971","237","9","46","5.1111"
"4986","237","4","246","61.5000"
"5012","0","1","0","0.0000"
"5015","237","4","441","110.2500"
"5019","237","1","428","428.0000"
"5021","237","2","483","241.5000"
"5034","237","36","453","12.5833"
"5038","237","1","0","0.0000"
"5087","3398","7","431","61.5714"
"5099","3398","2","402","201.0000"
"5124","0","6","10","1.6667"
"5138","237","1","0","0.0000"
"5152","3398","1","365","365.0000"
"5172","3398","8","400","50.0000"
"5287","430","4","2","0.5000"
"5350","5356","4","266","66.5000"
"5356","5356","37","478","12.9189"
"5434","4213","1","325","325.0000"
"5442","8634","9","205","22.7778"
"5625","5130","7","470","67.1429"
"5676","8634","39","477","12.2308"
"5695","5695","3","218","72.6667"
"5729","5130","1","0","0.0000"
"5751","237","28","446","15.9286"
"5759","237","16","269","16.8125"
"5764","237","15","359","23.9333"
"5769","237","57","462","8.1053"
"5770","237","6","436","72.6667"
"5774","237","5","388","77.6000"
"5777","237","4","425","106.2500"
"5779","237","12","295","24.5833"
"5780","237","9","322","35.7778"
"5787","289","6","86","14.3333"
"5788","237","29","364","12.5517"
"5789","54775","56","213","3.8036"
"5791","237","2","0","0.0000"
"5794","237","3","263","87.6667"
"5795","237","18","382","21.2222"
"5805","237","17","446","26.2353"
"5806","237","2","185","92.5000"
"5809","237","1","0","0.0000"
"5811","237","3","420","140.0000"
"5812","237","9","265","29.4444"
"5813","237","56","451","8.0536"
"5814","237","50","477","9.5400"
"5817","237","4","478","119.5000"
"5818","237","19","373","19.6316"
"5819","237","113","481","4.2566"
"5820","5820","40","384","9.6000"
"5821","237","32","400","12.5000"
"5823","237","42","469","11.1667"
"5828","5828","45","132","2.9333"
"5830","237","4","347","86.7500"
"5836","237","1","0","0.0000"
"5840","237","22","279","12.6818"
"5852","237","9","462","51.3333"
"5861","237","115","222","1.9304"
"5869","0","1","384","384.0000"
"5905","3398","6","10","1.6667"
"5921","3398","1","0","0.0000"
"5937","3407","3","213","71.0000"
"6084","5130","2","392","196.0000"
"6085","5130","1","429","429.0000"
"6123","145945","1","0","0.0000"
"6126","5130","2","383","191.5000"
"6128","20442","8","330","41.2500"
"6131","454582","3","11","3.6667"
