time,user_id,order
"2016-06-12 11","34","7"
"2016-06-22 17","76","7"
"2016-06-22 18","16797","7"
"2016-07-05 15","165","7"
"2016-08-16 16","165","7"
"2016-08-23 14","22","7"
"2016-08-25 15","237","7"
"2016-08-25 17","20593","7"
"2016-08-26 14","165","7"
"2016-08-30 16","165","7"
"2016-09-01 11","165","7"
"2016-09-21 14","165","7"
"2016-09-26 07","40805","7"
"2016-10-18 17","165","7"
"2016-11-02 13","165","7"
"2016-11-02 19","165","7"
"2016-11-09 13","165","7"
"2016-11-11 08","65878","7"
"2016-11-15 14","165","7"
"2017-04-07 16","166289","7"
"2017-04-09 15","160970","7"
"2017-04-09 22","221813","7"
"2017-04-10 14","97065","7"
"2017-04-10 16","138658","7"
"2017-04-13 10","165421","7"
"2017-04-13 12","103520","7"
"2017-04-13 20","31831","7"
"2017-04-13 20","144063","7"
"2017-04-14 16","18679","7"
"2017-04-15 13","107346","7"
"2017-04-18 09","121922","7"
"2017-04-18 18","107346","7"
"2017-04-30 22","245816","7"
"2017-05-02 13","201578","7"
"2017-05-03 10","105432","7"
"2017-05-03 11","155463","7"
"2017-05-04 08","167704","7"
"2017-05-06 17","296106","7"
"2017-05-07 20","148961","7"
"2017-05-12 10","27926","7"
"2017-05-12 10","71753","7"
"2017-05-12 10","103120","7"
"2017-05-12 10","225451","7"
"2017-05-12 14","20442","7"
"2017-05-12 14","156188","7"
"2017-05-13 08","272261","7"
"2017-05-13 10","20442","7"
"2017-05-13 10","202355","7"
"2017-05-14 15","326396","7"
"2017-05-15 10","19464","7"
"2017-05-15 10","35507","7"
"2017-05-15 10","83993","7"
"2017-05-15 10","86021","7"
"2017-05-15 10","281454","7"
"2017-05-15 18","219877","7"
"2017-05-15 19","291660","7"
"2017-05-15 21","168335","7"
"2017-04-19 22","222153","7"
"2017-04-20 16","250948","7"
"2017-04-21 07","221524","7"
"2017-04-22 06","198818","7"
"2017-04-22 07","145957","7"
"2017-04-22 08","164523","7"
"2017-04-27 21","27980","7"
"2017-04-29 11","125139","7"
"2017-03-25 10","131550","7"
"2017-03-25 12","21968","7"
"2017-03-26 20","173759","7"
"2017-03-30 12","154351","7"
"2017-03-30 20","31831","7"
